network,scan,step,filter,aggregation,model,aggregation_time
merged_f1_t0,merged,0,1,0,NETSPA,0
merged_f1_t0,merged,0,1,0,TVA,0
merged_f1_t0,merged,0,1,0,MULTI,0
merged_f1_t0,merged,0,1,1,NETSPA,0.005031700013205409
merged_f1_t0,merged,0,1,1,TVA,0.005031700013205409
merged_f1_t0,merged,0,1,1,MULTI,0.005031700013205409
merged_f1_t0,merged,0,1,2,NETSPA,0.0064178000029642135
merged_f1_t0,merged,0,1,2,TVA,0.0064178000029642135
merged_f1_t0,merged,0,1,2,MULTI,0.0064178000029642135
merged_f1_t0,merged,0,1,3,NETSPA,0.011878699995577335
merged_f1_t0,merged,0,1,3,TVA,0.011878699995577335
merged_f1_t0,merged,0,1,3,MULTI,0.011878699995577335
merged_f1_t10,merged,10,1,0,NETSPA,0
merged_f1_t10,merged,10,1,0,TVA,0
merged_f1_t10,merged,10,1,0,MULTI,0
merged_f1_t10,merged,10,1,1,NETSPA,0.005435099999886006
merged_f1_t10,merged,10,1,1,TVA,0.005435099999886006
merged_f1_t10,merged,10,1,1,MULTI,0.005435099999886006
merged_f1_t10,merged,10,1,2,NETSPA,0.0069466000131797045
merged_f1_t10,merged,10,1,2,TVA,0.0069466000131797045
merged_f1_t10,merged,10,1,2,MULTI,0.0069466000131797045
merged_f1_t10,merged,10,1,3,NETSPA,0.004314299992984161
merged_f1_t10,merged,10,1,3,TVA,0.004314299992984161
merged_f1_t10,merged,10,1,3,MULTI,0.004314299992984161
merged_f1_t100,merged,100,1,0,NETSPA,0
merged_f1_t100,merged,100,1,0,TVA,0
merged_f1_t100,merged,100,1,0,MULTI,0
merged_f1_t100,merged,100,1,1,NETSPA,0.004992799978936091
merged_f1_t100,merged,100,1,1,TVA,0.004992799978936091
merged_f1_t100,merged,100,1,1,MULTI,0.004992799978936091
merged_f1_t100,merged,100,1,2,NETSPA,0.010125000000698492
merged_f1_t100,merged,100,1,2,TVA,0.010125000000698492
merged_f1_t100,merged,100,1,2,MULTI,0.010125000000698492
merged_f1_t100,merged,100,1,3,NETSPA,0.0057517999957781285
merged_f1_t100,merged,100,1,3,TVA,0.0057517999957781285
merged_f1_t100,merged,100,1,3,MULTI,0.0057517999957781285
merged_f1_t110,merged,110,1,0,NETSPA,0
merged_f1_t110,merged,110,1,0,TVA,0
merged_f1_t110,merged,110,1,0,MULTI,0
merged_f1_t110,merged,110,1,1,NETSPA,0.0032386000093538314
merged_f1_t110,merged,110,1,1,TVA,0.0032386000093538314
merged_f1_t110,merged,110,1,1,MULTI,0.0032386000093538314
merged_f1_t110,merged,110,1,2,NETSPA,0.009523100015940145
merged_f1_t110,merged,110,1,2,TVA,0.009523100015940145
merged_f1_t110,merged,110,1,2,MULTI,0.009523100015940145
merged_f1_t110,merged,110,1,3,NETSPA,0.003874699992593378
merged_f1_t110,merged,110,1,3,TVA,0.003874699992593378
merged_f1_t110,merged,110,1,3,MULTI,0.003874699992593378
merged_f1_t120,merged,120,1,0,NETSPA,0
merged_f1_t120,merged,120,1,0,TVA,0
merged_f1_t120,merged,120,1,0,MULTI,0
merged_f1_t120,merged,120,1,1,NETSPA,0.005088400008389726
merged_f1_t120,merged,120,1,1,TVA,0.005088400008389726
merged_f1_t120,merged,120,1,1,MULTI,0.005088400008389726
merged_f1_t120,merged,120,1,2,NETSPA,0.011293699993984774
merged_f1_t120,merged,120,1,2,TVA,0.011293699993984774
merged_f1_t120,merged,120,1,2,MULTI,0.011293699993984774
merged_f1_t120,merged,120,1,3,NETSPA,0.00699470000108704
merged_f1_t120,merged,120,1,3,TVA,0.00699470000108704
merged_f1_t120,merged,120,1,3,MULTI,0.00699470000108704
merged_f1_t130,merged,130,1,0,NETSPA,0
merged_f1_t130,merged,130,1,0,TVA,0
merged_f1_t130,merged,130,1,0,MULTI,0
merged_f1_t130,merged,130,1,1,NETSPA,0.0031518999894615263
merged_f1_t130,merged,130,1,1,TVA,0.0031518999894615263
merged_f1_t130,merged,130,1,1,MULTI,0.0031518999894615263
merged_f1_t130,merged,130,1,2,NETSPA,0.010282200004439801
merged_f1_t130,merged,130,1,2,TVA,0.010282200004439801
merged_f1_t130,merged,130,1,2,MULTI,0.010282200004439801
merged_f1_t130,merged,130,1,3,NETSPA,0.006619699997827411
merged_f1_t130,merged,130,1,3,TVA,0.006619699997827411
merged_f1_t130,merged,130,1,3,MULTI,0.006619699997827411
merged_f1_t140,merged,140,1,0,NETSPA,0
merged_f1_t140,merged,140,1,0,TVA,0
merged_f1_t140,merged,140,1,0,MULTI,0
merged_f1_t140,merged,140,1,1,NETSPA,0.004779800015967339
merged_f1_t140,merged,140,1,1,TVA,0.004779800015967339
merged_f1_t140,merged,140,1,1,MULTI,0.004779800015967339
merged_f1_t140,merged,140,1,2,NETSPA,0.0056007000093813986
merged_f1_t140,merged,140,1,2,TVA,0.0056007000093813986
merged_f1_t140,merged,140,1,2,MULTI,0.0056007000093813986
merged_f1_t140,merged,140,1,3,NETSPA,0.00639460000093095
merged_f1_t140,merged,140,1,3,TVA,0.00639460000093095
merged_f1_t140,merged,140,1,3,MULTI,0.00639460000093095
merged_f1_t150,merged,150,1,0,NETSPA,0
merged_f1_t150,merged,150,1,0,TVA,0
merged_f1_t150,merged,150,1,0,MULTI,0
merged_f1_t150,merged,150,1,1,NETSPA,0.004311000026063994
merged_f1_t150,merged,150,1,1,TVA,0.004311000026063994
merged_f1_t150,merged,150,1,1,MULTI,0.004311000026063994
merged_f1_t150,merged,150,1,2,NETSPA,0.010356100014178082
merged_f1_t150,merged,150,1,2,TVA,0.010356100014178082
merged_f1_t150,merged,150,1,2,MULTI,0.010356100014178082
merged_f1_t150,merged,150,1,3,NETSPA,0.00518120001652278
merged_f1_t150,merged,150,1,3,TVA,0.00518120001652278
merged_f1_t150,merged,150,1,3,MULTI,0.00518120001652278
merged_f1_t160,merged,160,1,0,NETSPA,0
merged_f1_t160,merged,160,1,0,TVA,0
merged_f1_t160,merged,160,1,0,MULTI,0
merged_f1_t160,merged,160,1,1,NETSPA,0.0048420999955851585
merged_f1_t160,merged,160,1,1,TVA,0.0048420999955851585
merged_f1_t160,merged,160,1,1,MULTI,0.0048420999955851585
merged_f1_t160,merged,160,1,2,NETSPA,0.009256499994080514
merged_f1_t160,merged,160,1,2,TVA,0.009256499994080514
merged_f1_t160,merged,160,1,2,MULTI,0.009256499994080514
merged_f1_t160,merged,160,1,3,NETSPA,0.005383100011385977
merged_f1_t160,merged,160,1,3,TVA,0.005383100011385977
merged_f1_t160,merged,160,1,3,MULTI,0.005383100011385977
merged_f1_t170,merged,170,1,0,NETSPA,0
merged_f1_t170,merged,170,1,0,TVA,0
merged_f1_t170,merged,170,1,0,MULTI,0
merged_f1_t170,merged,170,1,1,NETSPA,0.0032072000030893832
merged_f1_t170,merged,170,1,1,TVA,0.0032072000030893832
merged_f1_t170,merged,170,1,1,MULTI,0.0032072000030893832
merged_f1_t170,merged,170,1,2,NETSPA,0.009693100000731647
merged_f1_t170,merged,170,1,2,TVA,0.009693100000731647
merged_f1_t170,merged,170,1,2,MULTI,0.009693100000731647
merged_f1_t170,merged,170,1,3,NETSPA,0.0049144999939017
merged_f1_t170,merged,170,1,3,TVA,0.0049144999939017
merged_f1_t170,merged,170,1,3,MULTI,0.0049144999939017
merged_f1_t180,merged,180,1,0,NETSPA,0
merged_f1_t180,merged,180,1,0,TVA,0
merged_f1_t180,merged,180,1,0,MULTI,0
merged_f1_t180,merged,180,1,1,NETSPA,0.004976399999577552
merged_f1_t180,merged,180,1,1,TVA,0.004976399999577552
merged_f1_t180,merged,180,1,1,MULTI,0.004976399999577552
merged_f1_t180,merged,180,1,2,NETSPA,0.008498799987137318
merged_f1_t180,merged,180,1,2,TVA,0.008498799987137318
merged_f1_t180,merged,180,1,2,MULTI,0.008498799987137318
merged_f1_t180,merged,180,1,3,NETSPA,0.004316999984439462
merged_f1_t180,merged,180,1,3,TVA,0.004316999984439462
merged_f1_t180,merged,180,1,3,MULTI,0.004316999984439462
merged_f1_t190,merged,190,1,0,NETSPA,0
merged_f1_t190,merged,190,1,0,TVA,0
merged_f1_t190,merged,190,1,0,MULTI,0
merged_f1_t190,merged,190,1,1,NETSPA,0.005883899983018637
merged_f1_t190,merged,190,1,1,TVA,0.005883899983018637
merged_f1_t190,merged,190,1,1,MULTI,0.005883899983018637
merged_f1_t190,merged,190,1,2,NETSPA,0.010131699993507937
merged_f1_t190,merged,190,1,2,TVA,0.010131699993507937
merged_f1_t190,merged,190,1,2,MULTI,0.010131699993507937
merged_f1_t190,merged,190,1,3,NETSPA,0.0062636999937240034
merged_f1_t190,merged,190,1,3,TVA,0.0062636999937240034
merged_f1_t190,merged,190,1,3,MULTI,0.0062636999937240034
merged_f1_t20,merged,20,1,0,NETSPA,0
merged_f1_t20,merged,20,1,0,TVA,0
merged_f1_t20,merged,20,1,0,MULTI,0
merged_f1_t20,merged,20,1,1,NETSPA,0.005199299979722127
merged_f1_t20,merged,20,1,1,TVA,0.005199299979722127
merged_f1_t20,merged,20,1,1,MULTI,0.005199299979722127
merged_f1_t20,merged,20,1,2,NETSPA,0.011445100011769682
merged_f1_t20,merged,20,1,2,TVA,0.011445100011769682
merged_f1_t20,merged,20,1,2,MULTI,0.011445100011769682
merged_f1_t20,merged,20,1,3,NETSPA,0.007176400016760454
merged_f1_t20,merged,20,1,3,TVA,0.007176400016760454
merged_f1_t20,merged,20,1,3,MULTI,0.007176400016760454
merged_f1_t200,merged,200,1,0,NETSPA,0
merged_f1_t200,merged,200,1,0,TVA,0
merged_f1_t200,merged,200,1,0,MULTI,0
merged_f1_t200,merged,200,1,1,NETSPA,0.005182799999602139
merged_f1_t200,merged,200,1,1,TVA,0.005182799999602139
merged_f1_t200,merged,200,1,1,MULTI,0.005182799999602139
merged_f1_t200,merged,200,1,2,NETSPA,0.013323899998795241
merged_f1_t200,merged,200,1,2,TVA,0.013323899998795241
merged_f1_t200,merged,200,1,2,MULTI,0.013323899998795241
merged_f1_t200,merged,200,1,3,NETSPA,0.00639599998248741
merged_f1_t200,merged,200,1,3,TVA,0.00639599998248741
merged_f1_t200,merged,200,1,3,MULTI,0.00639599998248741
merged_f1_t210,merged,210,1,0,NETSPA,0
merged_f1_t210,merged,210,1,0,TVA,0
merged_f1_t210,merged,210,1,0,MULTI,0
merged_f1_t210,merged,210,1,1,NETSPA,0.0051195000123698264
merged_f1_t210,merged,210,1,1,TVA,0.0051195000123698264
merged_f1_t210,merged,210,1,1,MULTI,0.0051195000123698264
merged_f1_t210,merged,210,1,2,NETSPA,0.008533599990187213
merged_f1_t210,merged,210,1,2,TVA,0.008533599990187213
merged_f1_t210,merged,210,1,2,MULTI,0.008533599990187213
merged_f1_t210,merged,210,1,3,NETSPA,0.006017600011546165
merged_f1_t210,merged,210,1,3,TVA,0.006017600011546165
merged_f1_t210,merged,210,1,3,MULTI,0.006017600011546165
merged_f1_t220,merged,220,1,0,NETSPA,0
merged_f1_t220,merged,220,1,0,TVA,0
merged_f1_t220,merged,220,1,0,MULTI,0
merged_f1_t220,merged,220,1,1,NETSPA,0.004525800002738833
merged_f1_t220,merged,220,1,1,TVA,0.004525800002738833
merged_f1_t220,merged,220,1,1,MULTI,0.004525800002738833
merged_f1_t220,merged,220,1,2,NETSPA,0.00853389999247156
merged_f1_t220,merged,220,1,2,TVA,0.00853389999247156
merged_f1_t220,merged,220,1,2,MULTI,0.00853389999247156
merged_f1_t220,merged,220,1,3,NETSPA,0.004969400004483759
merged_f1_t220,merged,220,1,3,TVA,0.004969400004483759
merged_f1_t220,merged,220,1,3,MULTI,0.004969400004483759
merged_f1_t230,merged,230,1,0,NETSPA,0
merged_f1_t230,merged,230,1,0,TVA,0
merged_f1_t230,merged,230,1,0,MULTI,0
merged_f1_t230,merged,230,1,1,NETSPA,0.0051469999889377505
merged_f1_t230,merged,230,1,1,TVA,0.0051469999889377505
merged_f1_t230,merged,230,1,1,MULTI,0.0051469999889377505
merged_f1_t230,merged,230,1,2,NETSPA,0.011357000010320917
merged_f1_t230,merged,230,1,2,TVA,0.011357000010320917
merged_f1_t230,merged,230,1,2,MULTI,0.011357000010320917
merged_f1_t230,merged,230,1,3,NETSPA,0.0064990000100806355
merged_f1_t230,merged,230,1,3,TVA,0.0064990000100806355
merged_f1_t230,merged,230,1,3,MULTI,0.0064990000100806355
merged_f1_t240,merged,240,1,0,NETSPA,0
merged_f1_t240,merged,240,1,0,TVA,0
merged_f1_t240,merged,240,1,0,MULTI,0
merged_f1_t240,merged,240,1,1,NETSPA,0.005336300004273653
merged_f1_t240,merged,240,1,1,TVA,0.005336300004273653
merged_f1_t240,merged,240,1,1,MULTI,0.005336300004273653
merged_f1_t240,merged,240,1,2,NETSPA,0.009535100020002574
merged_f1_t240,merged,240,1,2,TVA,0.009535100020002574
merged_f1_t240,merged,240,1,2,MULTI,0.009535100020002574
merged_f1_t240,merged,240,1,3,NETSPA,0.005445899994811043
merged_f1_t240,merged,240,1,3,TVA,0.005445899994811043
merged_f1_t240,merged,240,1,3,MULTI,0.005445899994811043
merged_f1_t250,merged,250,1,0,NETSPA,0
merged_f1_t250,merged,250,1,0,TVA,0
merged_f1_t250,merged,250,1,0,MULTI,0
merged_f1_t250,merged,250,1,1,NETSPA,0.004417100019054487
merged_f1_t250,merged,250,1,1,TVA,0.004417100019054487
merged_f1_t250,merged,250,1,1,MULTI,0.004417100019054487
merged_f1_t250,merged,250,1,2,NETSPA,0.01086459998623468
merged_f1_t250,merged,250,1,2,TVA,0.01086459998623468
merged_f1_t250,merged,250,1,2,MULTI,0.01086459998623468
merged_f1_t250,merged,250,1,3,NETSPA,0.005105699994601309
merged_f1_t250,merged,250,1,3,TVA,0.005105699994601309
merged_f1_t250,merged,250,1,3,MULTI,0.005105699994601309
merged_f1_t260,merged,260,1,0,NETSPA,0
merged_f1_t260,merged,260,1,0,TVA,0
merged_f1_t260,merged,260,1,0,MULTI,0
merged_f1_t260,merged,260,1,1,NETSPA,0.005614900001091883
merged_f1_t260,merged,260,1,1,TVA,0.005614900001091883
merged_f1_t260,merged,260,1,1,MULTI,0.005614900001091883
merged_f1_t260,merged,260,1,2,NETSPA,0.00587009999435395
merged_f1_t260,merged,260,1,2,TVA,0.00587009999435395
merged_f1_t260,merged,260,1,2,MULTI,0.00587009999435395
merged_f1_t260,merged,260,1,3,NETSPA,0.008185699989553541
merged_f1_t260,merged,260,1,3,TVA,0.008185699989553541
merged_f1_t260,merged,260,1,3,MULTI,0.008185699989553541
merged_f1_t270,merged,270,1,0,NETSPA,0
merged_f1_t270,merged,270,1,0,TVA,0
merged_f1_t270,merged,270,1,0,MULTI,0
merged_f1_t270,merged,270,1,1,NETSPA,0.0034694999922066927
merged_f1_t270,merged,270,1,1,TVA,0.0034694999922066927
merged_f1_t270,merged,270,1,1,MULTI,0.0034694999922066927
merged_f1_t270,merged,270,1,2,NETSPA,0.006241199997020885
merged_f1_t270,merged,270,1,2,TVA,0.006241199997020885
merged_f1_t270,merged,270,1,2,MULTI,0.006241199997020885
merged_f1_t270,merged,270,1,3,NETSPA,0.005442800000309944
merged_f1_t270,merged,270,1,3,TVA,0.005442800000309944
merged_f1_t270,merged,270,1,3,MULTI,0.005442800000309944
merged_f1_t280,merged,280,1,0,NETSPA,0
merged_f1_t280,merged,280,1,0,TVA,0
merged_f1_t280,merged,280,1,0,MULTI,0
merged_f1_t280,merged,280,1,1,NETSPA,0.004686800006311387
merged_f1_t280,merged,280,1,1,TVA,0.004686800006311387
merged_f1_t280,merged,280,1,1,MULTI,0.004686800006311387
merged_f1_t280,merged,280,1,2,NETSPA,0.014101800014032051
merged_f1_t280,merged,280,1,2,TVA,0.014101800014032051
merged_f1_t280,merged,280,1,2,MULTI,0.014101800014032051
merged_f1_t280,merged,280,1,3,NETSPA,0.006249099998967722
merged_f1_t280,merged,280,1,3,TVA,0.006249099998967722
merged_f1_t280,merged,280,1,3,MULTI,0.006249099998967722
merged_f1_t290,merged,290,1,0,NETSPA,0
merged_f1_t290,merged,290,1,0,TVA,0
merged_f1_t290,merged,290,1,0,MULTI,0
merged_f1_t290,merged,290,1,1,NETSPA,0.0050304999749641865
merged_f1_t290,merged,290,1,1,TVA,0.0050304999749641865
merged_f1_t290,merged,290,1,1,MULTI,0.0050304999749641865
merged_f1_t290,merged,290,1,2,NETSPA,0.011336199997458607
merged_f1_t290,merged,290,1,2,TVA,0.011336199997458607
merged_f1_t290,merged,290,1,2,MULTI,0.011336199997458607
merged_f1_t290,merged,290,1,3,NETSPA,0.013969099993119016
merged_f1_t290,merged,290,1,3,TVA,0.013969099993119016
merged_f1_t290,merged,290,1,3,MULTI,0.013969099993119016
merged_f1_t30,merged,30,1,0,NETSPA,0
merged_f1_t30,merged,30,1,0,TVA,0
merged_f1_t30,merged,30,1,0,MULTI,0
merged_f1_t30,merged,30,1,1,NETSPA,0.004282599984435365
merged_f1_t30,merged,30,1,1,TVA,0.004282599984435365
merged_f1_t30,merged,30,1,1,MULTI,0.004282599984435365
merged_f1_t30,merged,30,1,2,NETSPA,0.00990609999280423
merged_f1_t30,merged,30,1,2,TVA,0.00990609999280423
merged_f1_t30,merged,30,1,2,MULTI,0.00990609999280423
merged_f1_t30,merged,30,1,3,NETSPA,0.006278399989241734
merged_f1_t30,merged,30,1,3,TVA,0.006278399989241734
merged_f1_t30,merged,30,1,3,MULTI,0.006278399989241734
merged_f1_t300,merged,300,1,0,NETSPA,0
merged_f1_t300,merged,300,1,0,TVA,0
merged_f1_t300,merged,300,1,0,MULTI,0
merged_f1_t300,merged,300,1,1,NETSPA,0.005128200020408258
merged_f1_t300,merged,300,1,1,TVA,0.005128200020408258
merged_f1_t300,merged,300,1,1,MULTI,0.005128200020408258
merged_f1_t300,merged,300,1,2,NETSPA,0.009944199991878122
merged_f1_t300,merged,300,1,2,TVA,0.009944199991878122
merged_f1_t300,merged,300,1,2,MULTI,0.009944199991878122
merged_f1_t300,merged,300,1,3,NETSPA,0.005416500003775582
merged_f1_t300,merged,300,1,3,TVA,0.005416500003775582
merged_f1_t300,merged,300,1,3,MULTI,0.005416500003775582
merged_f1_t310,merged,310,1,0,NETSPA,0
merged_f1_t310,merged,310,1,0,TVA,0
merged_f1_t310,merged,310,1,0,MULTI,0
merged_f1_t310,merged,310,1,1,NETSPA,0.0036395000061020255
merged_f1_t310,merged,310,1,1,TVA,0.0036395000061020255
merged_f1_t310,merged,310,1,1,MULTI,0.0036395000061020255
merged_f1_t310,merged,310,1,2,NETSPA,0.007041400007437915
merged_f1_t310,merged,310,1,2,TVA,0.007041400007437915
merged_f1_t310,merged,310,1,2,MULTI,0.007041400007437915
merged_f1_t310,merged,310,1,3,NETSPA,0.005081999988760799
merged_f1_t310,merged,310,1,3,TVA,0.005081999988760799
merged_f1_t310,merged,310,1,3,MULTI,0.005081999988760799
merged_f1_t320,merged,320,1,0,NETSPA,0
merged_f1_t320,merged,320,1,0,TVA,0
merged_f1_t320,merged,320,1,0,MULTI,0
merged_f1_t320,merged,320,1,1,NETSPA,0.0032337000011466444
merged_f1_t320,merged,320,1,1,TVA,0.0032337000011466444
merged_f1_t320,merged,320,1,1,MULTI,0.0032337000011466444
merged_f1_t320,merged,320,1,2,NETSPA,0.01168250001501292
merged_f1_t320,merged,320,1,2,TVA,0.01168250001501292
merged_f1_t320,merged,320,1,2,MULTI,0.01168250001501292
merged_f1_t320,merged,320,1,3,NETSPA,0.005479700019350275
merged_f1_t320,merged,320,1,3,TVA,0.005479700019350275
merged_f1_t320,merged,320,1,3,MULTI,0.005479700019350275
merged_f1_t330,merged,330,1,0,NETSPA,0
merged_f1_t330,merged,330,1,0,TVA,0
merged_f1_t330,merged,330,1,0,MULTI,0
merged_f1_t330,merged,330,1,1,NETSPA,0.004010100004961714
merged_f1_t330,merged,330,1,1,TVA,0.004010100004961714
merged_f1_t330,merged,330,1,1,MULTI,0.004010100004961714
merged_f1_t330,merged,330,1,2,NETSPA,0.006001000001560897
merged_f1_t330,merged,330,1,2,TVA,0.006001000001560897
merged_f1_t330,merged,330,1,2,MULTI,0.006001000001560897
merged_f1_t330,merged,330,1,3,NETSPA,0.0035247000050731003
merged_f1_t330,merged,330,1,3,TVA,0.0035247000050731003
merged_f1_t330,merged,330,1,3,MULTI,0.0035247000050731003
merged_f1_t340,merged,340,1,0,NETSPA,0
merged_f1_t340,merged,340,1,0,TVA,0
merged_f1_t340,merged,340,1,0,MULTI,0
merged_f1_t340,merged,340,1,1,NETSPA,0.004219900001771748
merged_f1_t340,merged,340,1,1,TVA,0.004219900001771748
merged_f1_t340,merged,340,1,1,MULTI,0.004219900001771748
merged_f1_t340,merged,340,1,2,NETSPA,0.01153709998470731
merged_f1_t340,merged,340,1,2,TVA,0.01153709998470731
merged_f1_t340,merged,340,1,2,MULTI,0.01153709998470731
merged_f1_t340,merged,340,1,3,NETSPA,0.0035133000055793673
merged_f1_t340,merged,340,1,3,TVA,0.0035133000055793673
merged_f1_t340,merged,340,1,3,MULTI,0.0035133000055793673
merged_f1_t350,merged,350,1,0,NETSPA,0
merged_f1_t350,merged,350,1,0,TVA,0
merged_f1_t350,merged,350,1,0,MULTI,0
merged_f1_t350,merged,350,1,1,NETSPA,0.004183300014119595
merged_f1_t350,merged,350,1,1,TVA,0.004183300014119595
merged_f1_t350,merged,350,1,1,MULTI,0.004183300014119595
